,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Потребление смолы, г/м2","Угол нашивки, град",Шаг нашивки,Плотность нашивки
0,0.0008475888987138113,0.9264798654402542,0.33715507885194207,0.016664403961981954,0.01016291689130889,0.08131260182347759,0.09584274470071595,0.03194758156690532,0.10040668492455956,0.0,0.0018255760895374467,0.026014459275908616
1,0.0008431355054095053,0.921611963989932,0.3353836019331782,0.022699802068717537,0.01078240598264083,0.12921425792962263,0.09533916868861365,0.03177972289620455,0.09987912910235716,0.0,0.0018159841654974028,0.027239762482461044
2,0.0008429994221224407,0.9214632144892252,0.3353294705359285,0.022650746011336126,0.013160484250928218,0.12919340256196007,0.0953237808092302,0.03177459360307673,0.09986300846681258,0.0,0.0018156910630329562,0.03177459360307673
3,0.0008412614147900272,0.9195634387820256,0.3346381235868423,0.05843531211964596,0.009625971957693618,0.13589607469685108,0.09512725228779575,0.031709084095931914,0.09965712144435745,0.0,0.0022649345782808513,0.02129038503584
4,0.0012541879043477095,0.9186926399346997,0.3407761368821817,0.0506231323660569,0.010077495795202044,0.12880495520115126,0.09503716964841721,0.0316790565494724,0.0995627491554847,0.0,0.002262789753533743,0.025795803190284673
5,0.0012693999426808974,0.9172236330591937,0.34304163876413846,0.05130031779700071,0.010212302414507254,0.13052797855073114,0.09630848147121535,0.03210282715707178,0.10089459963651132,0.0,0.0022930590826479844,0.02751670899177581
6,0.0012119104349190438,0.900813623275542,0.3806055465881478,0.052756550732775985,0.010502193233214274,0.13423320201850578,0.0990423355433842,0.033014111847794736,0.10375863723592631,0.0,0.002358150846271052,0.033014111847794736
7,0.0012563304552432,0.9318956784811983,0.26240220420391636,0.054864131892056224,0.010921747284455375,0.13959570892228446,0.18637913569623965,0.036785355729520984,0.05885656916723357,0.0,0.003433299868088625,0.023052156257166483
8,0.0016252344498799312,0.8818349782061242,0.4061923811529764,0.05894130165211919,0.009709322946570021,0.13707279453981205,0.1736255397504286,0.034268198634953013,0.054829117815924824,0.0,0.0031983652059289483,0.026043830962564293
9,0.0012766041469314225,0.7589501555207799,0.5135562719023944,0.04662122383913362,0.007679852764198368,0.10842145078868284,0.3650188843218989,0.02818957720505754,0.10842145078868284,0.0,0.002529833851735933,0.02168429015773657
10,0.0011225941163061461,0.8305037155325026,0.35873146601473377,0.04959952745541335,0.008170464794011888,0.11534773826840314,0.3883373855036239,0.029990411949784815,0.11534773826840314,0.0,0.00269144722626274,0.026914472262627397
11,0.0010278864234395037,0.7108929906896049,0.5815747682626516,0.04608301296430102,0.007591193996057339,0.10716979759139772,0.3608049852243723,0.027864147373763408,0.10716979759139772,0.0,0.0032150939277419315,0.016789934955985644
12,0.0007240876735687989,0.8834904028501617,0.3746905452087609,0.058446288188549154,0.009627780031059454,0.13592160043848642,0.21294384068696204,0.033225280107185555,0.0996758403215567,0.0,0.0040776480131545926,0.025825104083312417
13,0.0013571115792722686,0.920334734720714,0.2640152168289725,0.05996120241362228,0.009877329854957158,0.13944465677586576,0.21846329561552302,0.034086471656322725,0.10225941496896823,0.0,0.0041833397032759725,0.027888931355173154
14,0.0018634863482133483,0.8833823356241259,0.3700030725127229,0.05966299544267657,0.009828206613619203,0.1387511521922711,0.2173768051012247,0.03391694831366625,0.1017508449409988,0.0,0.004162534565768133,0.032375268844863254
15,0.001396105228143938,0.9656911570672668,0.14366439873611556,0.06136658091708247,0.010108836003782965,0.142712978876936,0.09989908521385518,0.03329969507128506,0.10465618450975304,0.0,0.004757099295897866,0.02235836669071997
